direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Maule 150, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",374.000,Gastos comunes aproximados $ 85.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-05-17,Publicado hace 20 días por Blue Home,"Maule 150 -  Departamento 2d1b, Santiago",https://www.portalinmobiliario.com/MLC-1594148644-maule-150-departamento-2d1b-santiago-_JM#position=1&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.46531561836735,-70.62934235714286,Santiago
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",262.000,Gastos comunes aproximados $ 72.000,35 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 34 días por Blue Home,"Santo Domingo 3251 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1372875297-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=3&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.43829354189189,-70.67935596756757,Santiago
"Sara Del Campo 535, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",321.000,Gastos comunes aproximados $ 81.000,33 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 4 meses por Blue Home,"Sara Del Campo 535 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1619702950-sara-del-campo-535-departamento-1d1b-santiago-_JM#position=6&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.444423900000004,-70.64361905,Santiago
"Lira 245, Santa Isabel, Santiago, RM (Metropolitana)",580.000,Gastos comunes aproximados $ 85.000,58 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 6 días por Assetplan Chile,Edificio Lira (1 Est. 1 Bod.) Vista Sur Piso 1,https://www.portalinmobiliario.com/MLC-1383404993-edificio-lira-1-est-1-bod-vista-sur-piso-1-_JM#position=7&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.44645271428572,-70.64008014285714,Santiago
"San Pablo 1433, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 60.000,35 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Pablo Vista Oriente Piso 16,https://www.portalinmobiliario.com/MLC-1382952907-edificio-san-pablo-vista-oriente-piso-16-_JM#position=12&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.43438923125,-70.65783231875001,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",428.000,Gastos comunes aproximados $ 80.000,53.05 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Matucana Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1649735932-edificio-matucana-vista-poniente-piso-8-_JM#position=17&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4434888,-70.6796756,Santiago
"Santa Elena 1760, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 40.000,28 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santa Elena Vista Nororiente Piso 18,https://www.portalinmobiliario.com/MLC-1382972141-edificio-santa-elena-vista-nororiente-piso-18-_JM#position=19&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.46697211642239,-70.62792829182791,Santiago
"Lira 195, Santa Isabel, Santiago, RM (Metropolitana)",340.000,Gastos comunes aproximados $ 65.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Lira Vista Oriente Piso 3,https://www.portalinmobiliario.com/MLC-1649868096-edificio-lira-vista-oriente-piso-3-_JM#position=22&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4491924,-70.6390688,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",430.000,Gastos comunes aproximados $ 80.000,51.59 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Matucana Vista Oriente Piso 10,https://www.portalinmobiliario.com/MLC-1649847434-edificio-matucana-vista-oriente-piso-10-_JM#position=25&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4434888,-70.6796756,Santiago
"Sta Elena 1722, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",420.000,Gastos comunes aproximados $ 70.000,56.95 m² totales / 3 dormitorios / 2 baños,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Sta Elena Vista Poniente Piso 21,https://www.portalinmobiliario.com/MLC-1649847394-edificio-sta-elena-vista-poniente-piso-21-_JM#position=27&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.46656133284478,-70.62804488365583,Santiago
"Argomedo 344, Santa Isabel, Santiago, RM (Metropolitana)",440.000,Gastos comunes aproximados $ 85.000,49.45 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Argomedo (1 Est. 1 Bod.) Vista Norte Piso 2,https://www.portalinmobiliario.com/MLC-1382925809-edificio-argomedo-1-est-1-bod-vista-norte-piso-2-_JM#position=28&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4497984,-70.6363841,Santiago
"Av. Sta. Rosa 991, San Diego, Santiago, RM (Metropolitana)",395.000,Gastos comunes aproximados $ 60.000,42.74 m² totales / 2 dormitorios / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Av. Sta. Rosa Vista Norte Piso 18,https://www.portalinmobiliario.com/MLC-1382994245-edificio-av-sta-rosa-vista-norte-piso-18-_JM#position=29&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4432593,-70.6459905,Santiago
"Raulí 596, Santa Isabel, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Raulí Vista Oriente Piso 8,https://www.portalinmobiliario.com/MLC-1382925603-edificio-rauli-vista-oriente-piso-8-_JM#position=30&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4507761,-70.6360121,Santiago
"San Francisco 526, San Diego, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,31.97 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Francisco Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1382994489-edificio-san-francisco-vista-sur-piso-3-_JM#position=31&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4512115,-70.64638337999625,Santiago
"Amunátegui 620, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 40.000,35.2 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Amunátegui Vista Norte Piso 19,https://www.portalinmobiliario.com/MLC-1382984617-edificio-amunategui-vista-norte-piso-19-_JM#position=33&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.436505419999996,-70.65720278,Santiago
"Amunátegui 620, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",310.000,Gastos comunes aproximados $ 40.000,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Amunátegui Vista Norponiente Piso 21,https://www.portalinmobiliario.com/MLC-1649835442-edificio-amunategui-vista-norponiente-piso-21-_JM#position=37&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.436505419999996,-70.65720278,Santiago
"Avenida Matta 52, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",275.000,Gastos comunes aproximados $ 35.000,21 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Avenida Matta Vista Sur Piso 14,https://www.portalinmobiliario.com/MLC-1649736198-edificio-avenida-matta-vista-sur-piso-14-_JM#position=39&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.460669,-70.632152,Santiago
"Catedral 1757, Barrio Brasil, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 90.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Catedral (1 Est. 1 Bod.) Vista Norte Piso 3,https://www.portalinmobiliario.com/MLC-1382984715-edificio-catedral-1-est-1-bod-vista-norte-piso-3-_JM#position=40&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.43839091428571,-70.66170745238095,Santiago
"Santiago Concha 1148, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,27 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Santiago Concha Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1649858896-edificio-santiago-concha-vista-poniente-piso-8-_JM#position=42&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4662158,-70.6383189,Santiago
"San Isidro 96, Santa Isabel, Santiago, RM (Metropolitana)",345.000,Gastos comunes aproximados $ 45.000,28 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio San Isidro Vista Norte Piso 14,https://www.portalinmobiliario.com/MLC-1382947289-edificio-san-isidro-vista-norte-piso-14-_JM#position=43&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4445244,-70.6443308,Santiago
"Argomedo 344, Santa Isabel, Santiago, RM (Metropolitana)",380.000,Gastos comunes aproximados $ 50.000,40.87 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Argomedo (1 Bod.) Vista Oriente Piso 1,https://www.portalinmobiliario.com/MLC-1382972103-edificio-argomedo-1-bod-vista-oriente-piso-1-_JM#position=45&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4497984,-70.6363841,Santiago
"García Reyes 66, Barrio Yungay, Santiago, RM (Metropolitana)",318.000,Gastos comunes aproximados $ 60.000,37.03 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio García Reyes Vista Oriente Piso 7,https://www.portalinmobiliario.com/MLC-1382925913-edificio-garcia-reyes-vista-oriente-piso-7-_JM#position=46&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4456969,-70.6711074,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",425.000,Gastos comunes aproximados $ 80.000,53.5 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Matucana Vista Oriente Piso 4,https://www.portalinmobiliario.com/MLC-1649868124-edificio-matucana-vista-oriente-piso-4-_JM#position=48&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.4434888,-70.6796756,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",350.000,Gastos comunes aproximados $ 75.000,34 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 7 días por Assetplan Chile,Edificio Carmen Vista Nororiente Piso 2,https://www.portalinmobiliario.com/MLC-1382947833-edificio-carmen-vista-nororiente-piso-2-_JM#position=49&search_layout=stack&type=item&tracking_id=d8c0494b-aa36-4ecd-a54c-2803ef581330,-33.44412425714285,-70.64288787619049,Santiago
